Code,ZipLow,ZipHigh
AU,2852,2852
AU,2864,2864
AU,2865,2865
AU,2866,2866
AU,2867,2867
AU,2868,2868
AU,2869,2869
AU,2870,2870
AU,2871,2871
AU,2873,2873
AU,2874,2874
AU,2875,2875
AU,2876,2876
AU,2877,2877
AU,2878,2878
AU,2879,2879
AU,2880,2880
AU,2898,2898
AU,2899,2899
AU,3233,3233
AU,3236,3236
AU,3237,3237
AU,3238,3238
AU,3239,3239
AU,3242,3242
AU,3243,3243
AU,3249,3249
AU,3250,3250
AU,3251,3251
AU,3254,3254
AU,3260,3260
AU,3264,3264
AU,3265,3265
AU,3266,3266
AU,3267,3267
AU,3268,3268
AU,3269,3269
AU,3270,3270
AU,3271,3271
AU,3272,3272
AU,3273,3273
AU,3274,3274
AU,3276,3276
AU,3277,3277
AU,3278,3278
AU,3279,3279
AU,3280,3280
AU,3281,3281
AU,3282,3282
AU,3283,3283
AU,3284,3284
AU,3285,3285
AU,3286,3286
AU,3287,3287
AU,3289,3289
AU,3292,3292
AU,3293,3293
AU,3294,3294
AU,3300,3300
AU,3301,3301
AU,3302,3302
AU,3303,3303
AU,3304,3304
AU,3305,3305
AU,3309,3309
AU,3310,3310
AU,3311,3311
AU,3312,3312
AU,3314,3314
AU,3315,3315
AU,3317,3317
AU,3318,3318
AU,3319,3319
AU,3323,3323
AU,3324,3324
AU,3325,3325
AU,3351,3351
AU,3353,3353
AU,3354,3354
AU,3360,3360
AU,3361,3361
AU,3371,3371
AU,3373,3373
AU,3375,3375
AU,3377,3377
AU,3378,3378
AU,3379,3379
AU,3380,3380
AU,3381,3381
AU,3384,3384
AU,3385,3385
AU,3387,3387
AU,3388,3388
AU,3390,3390
AU,3391,3391
AU,3392,3392
AU,3393,3393
AU,3395,3395
AU,3396,3396
AU,3400,3400
AU,3401,3401
AU,3402,3402
AU,3407,3407
AU,3409,3409
AU,3412,3412
AU,3413,3413
AU,3414,3414
AU,3415,3415
AU,3418,3418
AU,3419,3419
AU,3420,3420
AU,3423,3423
AU,3424,3424
AU,3464,3464
AU,3465,3465
AU,3467,3467
AU,3468,3468
AU,3469,3469
AU,3472,3472
AU,3475,3475
AU,3478,3478
AU,3480,3480
AU,3482,3482
AU,3483,3483
AU,3485,3485
AU,3487,3487
AU,3488,3488
AU,3489,3489
AU,3490,3490
AU,3491,3491
AU,3494,3494
AU,3496,3496
AU,3498,3498
AU,3500,3500
AU,3501,3501
AU,3502,3502
AU,3505,3505
AU,3506,3506
AU,3507,3507
AU,3509,3509
AU,3512,3512
AU,3515,3515
AU,3516,3516
AU,3517,3517
AU,3518,3518
AU,3520,3520
AU,3525,3525
AU,3527,3527
AU,3529,3529
AU,3530,3530
AU,3531,3531
AU,3533,3533
AU,3537,3537
AU,3540,3540
AU,3542,3542
AU,3544,3544
AU,3546,3546
AU,3549,3549
AU,3552,3552
AU,3554,3554
AU,3556,3556
AU,3557,3557
AU,3558,3558
AU,3559,3559
AU,3561,3561
AU,3562,3562
AU,3563,3563
AU,3564,3564
AU,3565,3565
AU,3566,3566
AU,3567,3567
AU,3568,3568
AU,3570,3570
AU,3571,3571
AU,3572,3572
AU,3573,3573
AU,3575,3575
AU,3576,3576
AU,3579,3579
AU,3580,3580
AU,3581,3581
AU,3583,3583
AU,3584,3584
AU,3585,3585
AU,3588,3588
AU,3589,3589
AU,3590,3590
AU,3591,3591
AU,3594,3594
AU,3595,3595
AU,3596,3596
AU,3597,3597
AU,3599,3599
AU,3610,3610
AU,3612,3612
AU,3614,3614
AU,3616,3616
AU,3617,3617
AU,3618,3618
AU,3619,3619
AU,3620,3620
AU,3621,3621
AU,3622,3622
AU,3623,3623
AU,3624,3624
AU,3629,3629
AU,3630,3630
AU,3631,3631
AU,3632,3632
AU,3633,3633
AU,3634,3634
AU,3635,3635
AU,3636,3636
AU,3637,3637
AU,3638,3638
AU,3639,3639
AU,3640,3640
AU,3641,3641
AU,3643,3643
AU,3644,3644
AU,3646,3646
AU,3647,3647
AU,3649,3649
AU,3661,3661
AU,3666,3666
AU,3669,3669
AU,3670,3670
AU,3671,3671
AU,3672,3672
AU,3673,3673
AU,3675,3675
AU,3676,3676
AU,3677,3677
AU,3678,3678
AU,3682,3682
AU,3683,3683
AU,3685,3685
AU,3687,3687
AU,3688,3688
AU,3689,3689
AU,3690,3690
AU,3691,3691
AU,3694,3694
AU,3695,3695
AU,3697,3697
AU,3698,3698
AU,3699,3699
AU,3700,3700
AU,3701,3701
AU,3704,3704
AU,3705,3705
AU,3707,3707
AU,3708,3708
AU,3709,3709
AU,3722,3722
AU,3723,3723
AU,3724,3724
AU,3725,3725
AU,3726,3726
AU,3727,3727
AU,3728,3728
AU,3730,3730
AU,3732,3732
AU,3733,3733
AU,3735,3735
AU,3736,3736
AU,3737,3737
AU,3738,3738
AU,3739,3739
AU,3740,3740
AU,3741,3741
AU,3744,3744
AU,3746,3746
AU,3747,3747
AU,3749,3749
AU,3815,3815
AU,3823,3823
AU,3824,3824
AU,3825,3825
AU,3835,3835
AU,3840,3840
AU,3841,3841
AU,3842,3842
AU,3844,3844
AU,3847,3847
AU,3850,3850
AU,3851,3851
AU,3852,3852
AU,3853,3853
AU,3854,3854
AU,3856,3856
AU,3857,3857
AU,3858,3858
AU,3859,3859
AU,3860,3860
AU,3862,3862
AU,3864,3864
AU,3865,3865
AU,3869,3869
AU,3870,3870
AU,3871,3871
AU,3873,3873
AU,3874,3874
AU,3875,3875
AU,3878,3878
AU,3880,3880
AU,3882,3882
AU,3885,3885
AU,3886,3886
AU,3887,3887
AU,3888,3888
AU,3889,3889
AU,3890,3890
AU,3891,3891
AU,3892,3892
AU,3893,3893
AU,3895,3895
AU,3896,3896
AU,3898,3898
AU,3900,3900
AU,3902,3902
AU,3903,3903
AU,3904,3904
AU,3909,3909
AU,3921,3925
AU,3951,3951
AU,3953,3953
AU,3954,3954
AU,3956,3956
AU,3957,3957
AU,3958,3958
AU,3959,3959
AU,3960,3960
AU,3962,3962
AU,3964,3964
AU,3965,3965
AU,3966,3966
AU,3967,3967
AU,3971,3971
AU,3996,3996
AU,4183,4183
AU,4184,4184
AU,4281,4299
AU,4307,4307
AU,4309,4309
AU,4310,4310
AU,4311,4311
AU,4312,4312
AU,4313,4313
AU,4340,4340
AU,4341,4341
AU,4342,4342
AU,4343,4343
AU,4344,4344
AU,4345,4345
AU,4346,4346
AU,4347,4347
AU,4352,4352
AU,4353,4353
AU,4354,4354
AU,4355,4355
AU,4356,4356
AU,4357,4357
AU,4358,4358
AU,4359,4359
AU,4360,4360
AU,4361,4361
AU,4362,4362
AU,4363,4363
AU,4364,4364
AU,4365,4365
AU,4370,4370
AU,4371,4371
